NumCells	NumGenes	Mean_nCount_RNA	Median_nCount_RNA	Mean_nFeature_RNA	Median_nFeature_RNA
14668	56259	660.72955438241	464	380.203558541744	308
14668	30058	1065.43229755805	836	588.322742697452	504
13178	30058	1065.36951893007	836	588.260030607492	504
13178	29770	1067.36452804837	841	590.523547195163	507
13178	27232	1070.36181698002	841	593.812867215041	509
