NumGenes	NumCells	Mean_nCount_RNA	Median_nCount_RNA	Mean_nFeature_RNA	Median_nFeature_RNA
14684	76883	469.888531925133	313	307.480652419911	236
14684	36633	821.957005978216	652	513.714519695357	442
13230	36633	821.908252122403	652	513.665793137335	442
13230	36504	820.791255752794	653	513.845359412667	443
13230	33994	817.440695416838	652	515.126198740954	444.5
