NumGenes	NumCells	Mean_nCount_RNA	Median_nCount_RNA	Mean_nFeature_RNA	Median_nFeature_RNA
14564	98506	417.686638377358	275	270.881367632428	206
14564	46488	726.233759249699	567	448.229994837377	381
13107	46488	726.196373257615	567	448.192694889004	381
13107	46203	728.636430534814	570	449.715581239313	382
13107	43620	725.034479596515	567	449.76889041724	382
