NumCells	NumGenes	Mean_nCount_RNA	Median_nCount_RNA	Mean_nFeature_RNA	Median_nFeature_RNA
9067	33909	183.04689020614	88	132.958152702822	77
9067	69	3349.63768115942	2859	1378.76811594203	1257
4679	69	3315.10144927536	2830	1345.72463768116	1229
4679	69	3315.10144927536	2830	1345.72463768116	1229
4679	57	3439.57894736842	2928	1390.64912280702	1278
